1,1/4/16,recess,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
2,1/6/16,recess,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
3,1/3/17,recess,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
4,1/10/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
5,1/11/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
6,1/13/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
7,1/17/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
8,1/18/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
9,1/20/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
10,1/24/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
11,1/25/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
12,1/27/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
13,1/31/17,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
